abstract,author,title
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>Frames are redundant system which are useful in the reconstruction of certain classes of spaces. The dual of a frame (Hilbert) always exists and can be obtained in a natural way. Due to the presence of three Banach spaces in the definition of retro Banach frames (or Banach frames) duality of frames in Banach spaces is not similar to frames for Hilbert spaces. In this paper we introduce the notion of Λ-type duality of retro Banach frames. This can be generalized to Banach frames in Banach spaces. Necessary and sufficient conditions for the existence of the dual of retro Banach frames are obtained. A special class of retro Banach frames which always admit a dual frame is discussed.</p></div>
		<br>
		</div>","Author(s): Renu Chugh, Mukesh Singh, L. K. Vashisht",Title: On Λ-Type Duality of Frames in Banach Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we have obtained some asymptotic equalities of the sum function of a trigonometric sine series expressed in terms of its special type of coefficients.</div>
		<br>
		</div>",Author(s): Xhevat Z. Krasniqi,Title: On the Behavior near the Origin of a Sine Series with Coefficients of Monotone Type
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We prove a global existence and uniqueness result for the solution of a mixed stochastic functional differential equation driven by a Wiener process and fractional Brownian motion with Hurst index H &gt; 1/2. We also study the dependence of the solution on the initial condition.</div>
		<br>
		</div>","Author(s): Toufik Guendouzi, Soumia Idrissi",Title: Global Uniqueness Result for Functional Differential Equations Driven by a Wiener Process and Fractional Brownian Motion
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>For a class of singular second-order differential operators ∆, we prove a continuous-time principles for L1theory and L2theory, respectively. Another version of continuous-time principle using L1∩L2 theory is given.</div>
		<br>
		</div>",Author(s): Fethi Soltani,Title: Donoho-Stark Uncertainty Principle Associated with a Singular Second-Order Differential Operator
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In the present investigation, we define a new subclass of meromorphic bi-univalent functions class Σ' of complex order γ ∈ C\{0}, and obtain the estimates for the coefficients |b0| and |b1|. Further we pointed out several new or known consequences of our result.</div>
		<br>
		</div>","Author(s): T. Janani, G. Murugusundaramoorthy",Title: Coefficient Estimates of Meromorphic Bi- Starlike Functions of Complex Order
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We prove in this paper the existence of solutions of nonlinear parabolic problems in Musielak-Orlicz-Sobolev spaces. An approximation and a trace results in inhomogeneous Musielak-Orlicz-Sobolev spaces have also been provided.</div>
		<br>
		</div>","Author(s): M.L. Ahmed Oubeid, A. Benkirane, M. Sidi El Vally",Title: Parabolic Equations in Musielak-Orlicz-Sobolev Spaces
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we investigate the growth and oscillation of higher order differential polynomial with meromorphic coefficients in the unit disc…</p></div>
		<br>
		</div>","Author(s): Zinelaâbidine Latreuch, Benharrat BELAIDI",Title: Properties of Solutions of Complex Differential Equations in the Unit Disc
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we study the comparative growth properties of composition of entire and meromorphic functions on the basis of relative order (relative lower order) of Wronskians generated by entire and meromorphic functions.</div>
		<br>
		</div>","Author(s): Sanjib Kumar Datta, Tanmay Biswas, Golok Kumar Mondal",Title: Growth Properties of Wronskians in the Light of Relative Order
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper a new three-dimensional chaotic system is proposed, which relies on a nonlinear exponential term and a nonlinear quadratic cross term necessary for folding trajectories. Basic dynamical characteristics of the new system are analyzed. Compared with the Chen system, the equilibrium points of the new system does not contain the origin, and has a greater positive Lyapunov index, can produce more complex shaped chaotic attractor.</div>
		<br>
		</div>","Author(s): Iftikhar Ahmed, Chunlai Mu, Fuchen Zhang",Title: A New Chaotic Attractor with Quadratic Exponential Nonlinear Term from Chen’s Attractor
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The purpose of this article is to generalized the result of W. Sintunavarat and P. Kumam [29]. We also give an example in support of our theorem for which result of W. Sintunavarat and P. Kumam [29] is not true. Moreover we establish the existence and convergence theorems of coupled best proximity points in metric spaces, we apply this results in a uniformly convex Banach space.</div>
		<br>
		</div>","Author(s): Animesh Gupta, S.S. Rajput, P.S. Kaurav",Title: Coupled Best Proximity Point Theorem in Metric Spaces
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we study some growth properties of composite functions analytic in the unit polydisc. Some results related to the generalised n variables based p-th Nevanlinna order (generalised n variables based p-th Nevanlinna lower order) and the generalised n variables based p-th Nevanlinna relative order (generalised n variables based p-th Nevanlinna relative lower order) of an analytic function with respect to an entire function are established in this paper where n and p are any two positive integers. In fact in this paper we extend some results of [3] and [4].</div>
		<br>
		</div>","Author(s): Sanjib Kumar Datta, Tanmay Biswas, Soumen Kanti Deb",Title: Growth Analysis of Functions Analytic in the Unit Polydisc
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>We notice some remarks on <em>G</em>-metric spaces and the fixed point results of contractive mappings defined on such spaces. Our results generalize, extend and complement recent fixed point theorems established by  Jleli and Samet [M. Jleli and B. Samet, Remarks on G-metric spaces and fixed point theorems, Fixed Point Theory Appl. 2012:210 (2012)].</p></div>
		<br>
		</div>",Author(s): Vesna Cojbasic Rajic,Title: Some Remarks on G-Metric Spaces and Fixed Point Theorems
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>Recently, E. Karapinar and P. Salimi [Fixed point theorems via auxiliary functions, J. Appl. Math. 2012, Article ID 792174] have obtained fixed point results for increasing mappings in a partially ordered metric space using three auxiliary functions in the contractive condition. In this paper, these results are extended to 0-complete ordered partial metric spaces with a more general contractive condition. Examples are given showing that these extensions are proper.</p></div>
		<br>
		</div>","Author(s): Zoran Kadelburg, Stojan Radenovic",Title: Fixed Points under ψ-α-β Conditions in Ordered Partial Metric Spaces
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article, we generalize some norms inequalities for sums, differences, and products of absolute value operators. Our results based on Minkowski type inequalities and generalized forms of the Cauchy-Schwarz inequality. Some other related inequalities are also discussed.</div>
		<br>
		</div>","Author(s): Ilyas Ali, Hu Yang, Abdul Shakoor",Title: Generalized Norms Inequalities for Absolute Value Operators
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article, we introduce the notion of a semi cyclic ϕ-contraction pair of mappings, which contains semi cyclic contraction pairs as a subclass. Existence and convergence results of best proximity points for semi cyclic ϕ- contraction pair of mappings are obtained.</div>
		<br>
		</div>","Author(s): Balwant Singh Thakur, Ajay Sharma",Title: Existence and Convergence of Best Proximity Points for Semi Cyclic Contraction Pairs
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In the paper, the authors establish some new integral inequalities, from which some integral inequalities of Qi type may be derived.</div>
		<br>
		</div>","Author(s): Bo-Yan Xi, Feng Qi",Title: Some New Inequalities of Qi Type for Definite Integrals
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we investigate the generalized Hyers-Ulam stability of the generalized square root functional equation in several variables in fuzzy Banach spaces, by applying the fixed point method.</div>
		<br>
		</div>","Author(s): K. Ravi, B.V. Senthil Kumar",Title: Fuzzy Stability of Generalized Square Root Functional Equation in Several Variables: A Fixed Point Approach
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We define a particular space of bounded linear maps using a Von Neumann algebra and some operator spaces. By this, we prove some isomorphisms, and using interpolation in some particular cases, we get analogue of non-commutative Lp spaces.</div>
		<br>
		</div>","Author(s): E. J. Atto, V.S.K. Assiamoua, Y. Mensah",Title: On Some Isomorphisms between Bounded Linear Maps and Non-Commutative Lp-Spaces
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper, we prove some new inequalities of Hadamard-type for m−convex functions on the co-ordinates via Riemann-Liouville fractional integrals.</p></div>
		<br>
		</div>","Author(s): Çetin Yildiz, Mevlüt Tunc, Havva Kavurmaci",Title: Inequalities for Co-ordinated m−Convex Functions via Riemann-Liouville Fractional Integrals
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we determine the eigenvalue intervals of λ1, λ2, ..., λn for which the iterative system of (n,p)-type fractional order two-point boundary value problem has a positive solution by an application of Guo-Krasnosel’skii fixed point theorem on a cone.</div>
		<br>
		</div>","Author(s): K. R. Prasad, B. M. B. Krushna, N. Sreedhar","Title: Eigenvalues for Iterative Systems of (n,p)-Type Fractional Order Boundary Value Problems"
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>We study in this paper,the existence of solutions for fractional integro differential equations with impulsive and integral conditions by using fixed point method. We establish the Sufficient conditions and unique solution for given problem. An Example is also explained to the main results.</div>
		<br>
		</div>","Author(s): A. Anguraj, M. Kasthuri, P. Karthikeyan",Title: Integral Boundary Value Problems for Fractional Impulsive Integro Differential Equations in Banach Spaces
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we utilize three functions to define a weak contraction in a cone metric space with a partial order and establish that this contraction has necessarily a fixed point either under the continuity assumption or an order condition which we state here. The uniqueness of the fixed point is also derived under some additional assumptions. The result is supported with an example. The methodology used is a combination of order theoretic and analytic approaches.</div>
		<br>
		</div>","Author(s): Binayak S. Choudhury, L. Kumar, T. Som, N. Metiya",Title: A Weak Contraction Principle in Partially Ordered Cone Metric Space with Three Control Functions
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we obtain some inequalities of Simpson’s inequality type for functions whose derivatives absolute values are quasi-preinvex function. Applications to some special means are considered.</div>
		<br>
		</div>","Author(s): Shahid Qaisar, Chuanjiang He, Sabir Hussain",Title: New Integral Inequalities through Invexity with Applications
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we derive some new fractional Ostrowski type inequalities for s-Godunova-Levin functions introduced by Dragomir [3, 4]. Some special cases are also discussed.</div>
		<br>
		</div>","Author(s): Muhammad Aslam Noor, Khalida Inayat Noor, Muhammad Uzair Awan",Title: Fractional Ostrowski Inequalities for s-Godunova-Levin Functions
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The purpose of this paper is to prove some Presic-Boyd-Wong type fixed point theorems in ordered metric spaces. The results of this paper generalize the famous results of Presic and Boyd-Wong in ordered metric spaces. We also initiate the homotopy result in product spaces. Some examples are provided which illustrate the results proved herein.</div>
		<br>
		</div>","Author(s): Satish Shukla, Stojan Radenovic",Title: Presic-Boyd-Wong Type Results in Ordered Metric Spaces
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we introduce the concepts of a monotone mappings and monotone mapping with respect to other mapping to obtain some coupled coincidence point results in partially ordered metric spaces. Our results generalize, extend and complement various comparable results in the existing literature.</div>
		<br>
		</div>",Author(s): Stojan Radenovic,Title: Some Coupled Coincidence Points Results of Monotone Mappings in Partially Ordered Metric Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, generalizations of some inequalities for product of convex functions are given.</div>
		<br>
		</div>",Author(s): M. A. Latif,Title: Generalization of Integral Inequalities for Product of Convex Functions
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article, we consider representations of the Drazin inverse of a modified matrix M = A−CDdB with the generalized Schur complement Z = D − BAdC under different conditions given in recent articles on the subject. Numerical example is given to illustrate our result.</div>
		<br>
		</div>","Author(s): Abdul Shakoor, Hu Yang, Ilyas Ali",Title: Some Results on the Drazin Inverse of a Modified Matrix with New Conditions
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>This paper deals with the evolution r-Laplacian equation with absorption and nonlinear boundary condition. By using differential inequality techniques, global existence and blow-up criteria of nonnegative solutions are determined. Moreover, upper bound of the blow-up time for the blow-up solution is obtained.</p></div>
		<br>
		</div>","Author(s): Iftikhar Ahmed, Chunlai Mu, Pan Zheng",Title: Global Existence and Blow-Up of Solutions for a Quasilinear Parabolic Equation with Absorption and Nonlinear Boundary Condition
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper deals with the growth of meromorphic solutions of some second order linear differential equations, where it is assumed that the coefficients are meromorphic functions. Our results extend the previous results due to Chen and Shon, Xu and Zhang, Peng and Chen and others.</div>
		<br>
		</div>","Author(s): Benharrat Belaidi, Habib Habib",Title: Properties of Meromorphic Solutions of a Class of Second Order Linear Differential Equations
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article, we investigate the meromorphic solutions of certain non-linear difference equations using Tumura-Clunie theorem and also provide examples which satisfy our results.</div>
		<br>
		</div>",Author(s): Veena L. Pujari,Title: On the Meromorphic Solutions of Certain Nonlinear Difference Equations
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div><p>In this paper we prove a new monotonicity formula for the heat equation via a generalized family of entropy functionals. This family of entropy formulas generalizes both Perelman’s entropy for evolving metric and Ni’s entropy on static manifold. We show that this entropy satisfies a pointwise differential inequality for heat kernel. The consequences of which are various gradient and Harnack estimates for all positive solutions to the heat equation on compact manifold.</p></div>
		<br>
		</div>",Author(s): Abimbola Abolarinwa,Title: A New Entropy Formula and Gradient Estimates for the Linear Heat Equation on Static Manifold
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we define K− proximal contraction and prove best proximity point theorem for this contraction. We also provide an illustrative example.</div>
		<br>
		</div>","Author(s): Ajay Sharma, Balwant Singh Thakur",Title: Best Proximity Points for K- Proximal Contraction
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>A generalization of the notion of p-multiresoltion analysis on a half-line, based on the theory of shift-invariant spaces is considered. In contrast to the standard setting, the associated subspace V0 of L2 (R+) has a frame, a collection of translates of the scaling function ϕ of the form {ϕ(· k)}k∈Z+ , where Z+ is the set of non-negative integers. We investigate certain properties of multiresolution subspaces which provides the quantitative criteria for the construction of p-frame multiresoltion analysis (p-FMRA) on positive half-line R+. Finally, we establish a complete characterization of all p-wavelet frames associated with p-FMRA on positive half-line R+ using the shift-invariant space theory.</div>
		<br>
		</div>",Author(s): F.A. Shah,Title: p-Frame Multiresolution Analysis Related to the Walsh Functions
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we consider the existence of square-mean piecewise almost periodic solutions for impulsive fractional stochastic evolution equations involving Caputo fractional derivative. The main results are obtained by means of the theory of operators semi-group, fractional calculus, fixed point technique and stochastic analysis theory and methods adopted directly from deterministic fractional equations. Some known results are improved and generalized.</div>
		<br>
		</div>","Author(s): Toufik Guendouzi, Lamia Bousmaha",Title: Almost Periodic Solutions for Impulsive Fractional Stochastic Evolution Equations
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper deals with the existence of at least one and multiple positive solutions for p-Laplacian fractional order two-point boundary value problems, by applying Krasnosel’skii and five functionals fixed point theorems.</div>
		<br>
		</div>","Author(s): K. R. Prasad, B. M. B. Krushna",Title: Existence of Multiple Positive Solutions for p-Laplacian Fractional Order Boundary Value Problems
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The purpose of this paper is to study modified S-iteration process to converge to common fixed point for two nearly asymptotically nonexpansive mappings in the framework of Banach spaces. Also we establish some strong convergence theorems and a weak convergence theorem for said mappings and iteration scheme under appropriate conditions.</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Convergence to Common Fixed Point for Nearly Asymptotically Nonexpansive Mappings in Banach Spaces
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we study two estimates useful in applications are proved for the Dunkl transform in a Hilbert space L2,α(R) = L2(R,|x|2α+1dx), α &gt;−1/2 as applied to some classes of functions characterized by a generalized modulus of continuity.</div>
		<br>
		</div>","Author(s): Mohamed El Hamma, Radouan Daher","Title: On Estimates for the Dunkl Transform in the Space L2,α(R)"
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we obtain some common fixed point theorems for four fuzzy mappings in complete ordered metric linear spaces. These mappings are assumed to satisfy certain contractive inequality involving functions which are generalizations of altering distance functions. We also note that this fuzzy fixed point result is derivable from a multi-valued fixed point result.</div>
		<br>
		</div>","Author(s): Animesh Gupta, Neelesh Pandey",Title: Common Fixed Point Theorems for Four Fuzzy Mappings
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we discuss some comparative growth properties of entire and meromorphic functions on the basis of their relative order which improve some earlier results.</div>
		<br>
		</div>",Author(s): Arkojyoti Biswas,Title: Estimation of Comparative Growth Properties of Entire and Meromorphic Functions in Terms of Their Relative Order
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we prove a fixed point theorem for the selfmaps of a closed convex and bounded subset of the Banach space satisfying a generalized nonexpansive type condition. Some results concerning the approximations of fixed points with Krasnoselskii and Mann type iterations are also proved under suitable conditions. Our results include the well-known result of Kannan (1968) and Bose and Mukherjee (1981) as the special cases with a different and constructive method.</div>
		<br>
		</div>",Author(s): Bapurao C. Dhage,Title: Approximating Fixed Points of Generalized Nonexpansive Mappings in Banach Spaces
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we first prove a version of the fixed point theorem obtained in [V. Pata, A fixed point theorem in metric spaces, J. Fixed Point Theory Appl. 10 (2011) 299–305], adjusted for monotone mappings in ordered metric spaces, as well as some generalizations. Then we apply them to obtain results of this type for tripled fixed points in two cases—for monotone and mixed-monotone mappings with three variables. An example is given to show the difference between some of these results.</div>
		<br>
		</div>","Author(s): Zoran Kadelburg, Stojan Radenovic",Title: Fixed Point and Tripled Fixed Point Theorems under Pata-Type Conditions in Ordered Metric Spaces
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we study explicit bounds of certain dynamic integral inequalities on time scales. These estimates give the bounds on unknown functions which can be used in studying the qualitative aspects of certain dynamic equations. Using these inequalities we prove the uniqueness of some partial integro-differential equations on time scales.</div>
		<br>
		</div>",Author(s): Deepak B. Pachpatte,Title: Bounds of Certain Dynamic Inequalities on Time Scales
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The object of the present investigation is to solve Fekete-Szegö problem and determine the sharp upper bound to the second Hankel determinant for a new class R of analytic functions in the unit disk.</div>
		<br>
		</div>","Author(s): Ashok Kumar Sahoo, Jagannath Patel",Title: Hankel Determinant for a Class of Analytic Functions Related with Lemniscate of Bernoulli
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we study the index formulas for a class of bounded linear operators, namely ϕ−set contractions, acting on a Banach space and we discuss some application of this class of operators to the theory of bifurcation points. In particular our results generalize and improve some recent results mentioned in the literature.</div>
		<br>
		</div>","Author(s): H. Salahifard, S. M. Vaezpour",Title: Index Formulas for Countably φ−Set Contraction
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Discrete Mittag - Leffler functions play a major role in the development of the theory of discrete fractional calculus. In the present article, we analyze qualitative properties of discrete Mittag - Leffler functions and establish sufficient conditions for convergence, oscillation and summability of the infinite series associated with discrete Mittag - Leffler functions.</div>
		<br>
		</div>","Author(s): N. Shobanadevi, J. Jagan Mohan",Title: Analysis of Discrete Mittag - Leffler Functions
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>This paper is devoted to considering the growth of solutions of complex higher order linear differential equations with meromorphic coefficients under some assumptions for [p,q] − ϕ order and we obtain some results which improve and extend some previous results of H. Hu and X. M. Zheng; X. Shen, J. Tu and H. Y. Xu and others.</div>
		<br>
		</div>","Author(s): Rabab Bouabdelli, Benharrat BELAIDI","Title: Growth and Complex Oscillation of Linear Differential Equations with Meromorphic Coefficients of [p,q] − ϕ Order"
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we investigate the characterization of biorthogonal multiwavelet packets associated with arbitrary matrix dilations and particularly of orthonormal multiwavelet packets by means of basic equations in Fourier domain.</div>
		<br>
		</div>","Author(s): Firdous A. Shah, R. Abass",Title: Characterization of Biorthogonal Multiwavelet Packets with Arbitrary Dilation Matrix
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we introduce the notion of T-contraction for tripled fixed points in abstract metric spaces and obtain some tripled fixed point theorems which extend and generalize well-known comparable results in the literature. To support our results, we present an example and an applications to integral equations.</div>
		<br>
		</div>","Author(s): Hamidreza Rahimi, Calogero Vetro, Mujahid Abbas, Ghasem Soleimani Rad",Title: Tripled Fixed Point Results for T-Contractions on Abstract Metric Spaces
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The aim of this paper is to study the strong convergence of modified S-iteration process for Ciric quasi contractive operator in the framework of CAT(0) spaces. Also we give an application of our result with supporting example. Our result improves and extends some corresponding previous result from the existing literature (see, e.g., [3, 29] and many others).</div>
		<br>
		</div>",Author(s): G. S. Saluja,Title: Fixed Point Theorem of Modified S-Iteration Process for Ciric Quasi Contractive Operator in CAT(0) spaces
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>The authors find the absolute monotonicity and complete monotonicity of some functions involving trigonometric functions and related to estimates the lower bounds of the first eigenvalue of Laplace operator on Riemannian manifolds.</div>
		<br>
		</div>","Author(s): Feng Qi, Miao-Miao Zheng",Title: Absolute Monotonicity of Functions Related To Estimates of First Eigenvalue of Laplace Operator on Riemannian Manifolds
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we devoted to study the existence of mild solutions for quasilinear impulsive integrodi_erential equation in Banach spaces. The results are established by using Hausdor_'s measure of noncompactness and the _xed point theorems. Application is provided to illustrate the theory.</div>
		<br>
		</div>",Author(s): B. Radhakrishnan,Title: Existence of Quasilinear Neutral Impulsive Integrodifferential Equations in Banach Space
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we introduce the notion of tvs-cone normed spaces, discuss related topological concepts and characterize the tvs-cone norm in various directions. We construct generalize locally convex tvs generated by a family of tvs-cone seminorms. The class of weak contractions properly includes large classes of highly applicable contractions like Banach, Kannan, Chatterjea and quasi etc. We prove fixed point results in tvs-cone Banach spaces for nonexpansive self mappings and self/non-self weak contractive mappings. We discuss the necessary conditions for T -stability of Picard iteration. To ensure the novelty of our work we establish an application in homotopy theory without the assumption of normality on cone and many non-trivial examples.</div>
		<br>
		</div>","Author(s): Nayyar Mehmood, Akbar Azam, Suzana Aleksic",Title: Topological Vector-Space Valued Cone Banach Spaces
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we establish Opial type integral inequalities for Widder derivatives and linear di_erential operator. Also, for applications we construct some related inequalities as special cases.</div>
		<br>
		</div>","Author(s): Ghulam Farid, Josip Pecaric",Title: Opial Type Integral Inequalities for Widder Derivatives and Linear Differential Operators
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this article we obtained b-metric variant of common fixed point results for Ciric's and generalized contractions. We have also proved some fixed point results for rational contractive type conditions in the context of b-metric space. A particular example is also given in the support of our established result regarding Ciric's type contraction.</div>
		<br>
		</div>","Author(s): Muhammad Sarwar, Mujeeb Ur Rahman",Title: Fixed Point Theorems for Ciric's and Generalized Contractions in b-Metric Spaces
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we establish sufficient conditions on global existence and uniqueness of solutions of nonlinear fractional nabla difference systems and investigate the dependence of solutions on initial conditions and parameters.</div>
		<br>
		</div>",Author(s): Jagan Mohan Jonnalagadda,Title: Analysis of Nonlinear Fractional Nabla Difference Equations
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we study the q-analogue of Klamkin-McLenaghan's and Grueb-Reinboldt's inequalities then we use the Riemann-Liouville fractional q-integral to get some new integral results.</div>
		<br>
		</div>","Author(s): Kamel Brahim, Sabrina Taf, Bochra Nefzi",Title: New Integral Inequalities in Quantum Calculus
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>Let X and Y two complex Banach spaces and (A,B) a pair of bounded linear operators acting on X with value on Y. This paper is concerned with spectral analysis ofthe pair (A;B): We establish some properties concerning the   spectrum of the linear operator pencils (A-lambda B) when B is not necessarily invertible and lambda is a complex number. Also, we use the functional calculus for the pair (A,B) to prove the corresponding spectral mapping theorem for (A,B). In addition, we define the generalized Kato essential spectrum and the closed range spectra of the pair (A,B) and we give some relationships between this spectrums. As application, we describe a spectral analysis of quotient operators.</div>
		<br>
		</div>","Author(s): Bekkai Messirdi, Abdellah Gherbi, Mohamed Amouch",Title: A Spectral Analysis of Linear Operator Pencils on Banach Spaces with Application to Quotient of Bounded Operators
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper, we investigate the relationship between solutions and their derivatives of the differential equation f^{(k)}+A_{k-1}f^{(k-1)}+...+A₀f=0 for k≥2 and small functions, where A_{j} (j=0,1,...,k-1) are meromorphic functions of finite iterated p-order.</div>
		<br>
		</div>",Author(s): Abdallah EL FARISSI,Title: On The Iterated Exponent of Convergence of Solutions of Linear Differential Equations
,,
,,
,,
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In the present paper, we have studied some properties of curvature tensors of special projective semi-symmetric connection. We have shown that curvature tensor of such a connection satisfies Bianchi's identities.</div>
		<br>
		</div>","Author(s): S. K. Pal, M. K. Pandey, R. N. Singh",Title: On a Type of Projective Semi- Symmetric Connection
"<div id=""articleAbstract"">
		<h4>Abstract</h4>
		<br>
		<div>In this paper we prove the existence as well as approximations of the solutions for a certain nonlinear generalized quadratic functional integral equation. An algorithm for the solutions is developed and it is shown that the sequence of successive approximations starting at a lower or upper solution converges monotonically to the solutions of related quadratic functional integral equation under some suitable mixed hybrid conditions. We rely our main result on Dhage iteration method embodied in a recent hybrid fixed point theorem of Dhage (2014) in partially ordered normed linear spaces. An example is also provided to illustrate the abstract theory developed in the paper.</div>
		<br>
		</div>",Author(s): Bapurao C. Dhage,Title: Dhage Iteration Method for Generalized Quadratic Functional Integral Equations
,,
